,0
241,56.0
242,20.0
243,27.0
244,20.0
245,60.0
246,140.0
247,138.0
248,95.0
249,115.0
250,145.0
251,125.0
252,128.0
253,192.0
254,244.0
255,271.0
256,322.0
257,327.0
258,285.0
259,315.0
260,362.0
261,345.0
262,311.0
263,277.0
264,194.0
265,93.0
266,29.0
267,9.0
268,10.0
269,63.0
270,144.0
271,165.0
272,136.0
273,145.0
274,164.0
275,148.0
276,154.0
277,215.0
278,268.0
279,302.0
280,369.0
281,382.0
282,298.0
283,247.0
284,277.0
285,296.0
286,284.0
287,253.0
288,159.0
289,55.0
290,24.0
291,38.0
292,35.0
293,46.0
294,91.0
295,115.0
296,110.0
297,117.0
298,128.0
299,140.0
300,173.0
301,214.0
302,244.0
303,290.0
304,329.0
305,319.0
306,293.0
307,281.0
308,249.0
309,228.0
310,295.0
311,311.0
312,167.0
313,29.0
314,17.0
315,23.0
316,10.0
317,52.0
318,100.0
319,94.0
320,110.0
321,152.0
322,139.0
323,114.0
324,156.0
325,201.0
326,229.0
327,300.0
328,369.0
329,339.0
330,299.0
331,336.0
332,340.0
333,330.0
334,345.0
335,303.0
336,181.0
337,80.0
338,52.0
339,27.0
340,15.0
341,91.0
342,168.0
343,130.0
344,96.0
345,140.0
346,149.0
347,124.0
348,186.0
349,291.0
350,315.0
351,348.0
352,418.0
353,357.0
354,293.0
355,395.0
356,418.0
357,295.0
358,287.0
359,385.0
360,326.0
361,162.0
362,63.0
363,24.0
364,11.0
365,77.0
366,162.0
367,174.0
368,151.0
369,160.0
370,171.0
371,162.0
372,175.0
373,212.0
374,226.0
375,259.0
376,338.0
377,357.0
378,276.0
379,226.0
380,264.0
381,313.0
382,340.0
383,347.0
384,301.0
385,181.0
386,65.0
387,18.0
388,22.0
389,60.0
390,120.0
391,137.0
392,98.0
393,89.0
394,111.0
395,101.0
396,112.0
397,182.0
398,232.0
399,233.0
400,281.0
401,309.0
402,242.0
403,224.0
404,279.0
405,246.0
406,198.0
407,226.0
408,195.0
409,59.0
410,5.0
411,9.0
412,12.0
413,60.0
414,136.0
415,122.0
416,81.0
417,101.0
418,108.0
419,86.0
420,112.0
421,153.0
422,187.0
423,273.0
424,329.0
425,265.0
426,198.0
427,235.0
428,278.0
429,272.0
430,258.0
431,234.0
432,157.0
433,75.0
434,23.0
435,5.0
436,12.0
437,57.0
438,101.0
439,128.0
440,136.0
441,116.0
442,77.0
443,83.0
444,141.0
445,201.0
446,250.0
447,280.0
448,278.0
449,250.0
450,228.0
451,213.0
452,197.0
453,191.0
454,216.0
455,222.0
456,155.0
457,65.0
458,21.0
459,6.0
460,5.0
461,39.0
462,78.0
463,91.0
464,96.0
465,101.0
466,89.0
467,95.0
468,140.0
469,180.0
470,211.0
471,279.0
472,300.0
473,250.0
474,235.0
475,279.0
476,273.0
477,220.0
478,206.0
479,221.0
480,159.0
481,45.0
482,5.0
483,5.0
484,9.0
485,63.0
486,126.0
487,124.0
488,95.0
489,111.0
490,130.0
491,128.0
492,166.0
493,221.0
494,243.0
495,300.0
496,383.0
497,376.0
498,314.0
499,314.0
500,359.0
501,401.0
502,386.0
503,334.0
504,229.0
505,88.0
506,7.0
507,5.0
508,24.0
509,89.0
510,163.0
511,170.0
512,128.0
513,129.0
514,158.0
515,131.0
516,122.0
517,211.0
518,288.0
519,305.0
520,361.0
521,363.0
522,279.0
523,265.0
524,354.0
525,370.0
526,293.0
527,245.0
528,179.0
529,71.0
530,17.0
531,15.0
532,10.0
533,47.0
534,112.0
535,112.0
536,92.0
537,122.0
538,121.0
539,78.0
540,108.0
541,196.0
542,220.0
543,227.0
544,283.0
545,278.0
546,197.0
547,179.0
548,249.0
549,268.0
550,216.0
551,166.0
552,100.0
553,22.0
554,5.0
555,6.0
556,14.0
557,45.0
558,98.0
559,119.0
560,102.0
561,95.0
562,84.0
563,74.0
564,104.0
565,147.0
566,183.0
567,251.0
568,290.0
569,245.0
570,208.0
571,232.0
572,227.0
573,192.0
574,223.0
575,249.0
576,142.0
577,18.0
578,5.0
579,11.0
580,16.0
581,57.0
582,108.0
583,123.0
584,106.0
585,94.0
586,90.0
587,89.0
588,128.0
589,183.0
590,227.0
591,272.0
592,305.0
593,284.0
594,234.0
595,233.0
596,252.0
597,251.0
598,257.0
599,253.0
600,166.0
601,48.0
602,5.0
603,6.0
604,8.0
605,52.0
606,112.0
607,134.0
608,131.0
609,114.0
610,94.0
611,109.0
612,159.0
613,173.0
614,197.0
615,268.0
616,319.0
617,288.0
618,235.0
619,213.0
620,200.0
621,219.0
622,236.0
623,192.0
624,114.0
625,41.0
626,6.0
